articulo,precio
Arduino Leonardo + Headers R3 con Cable USB Genérica,$ 340.00
Arduino Uno R3 SMD con Cable USB Genérica,$ 410.00
Kit de 37 Módulos Sensores y Actuadores para Arduino,"$ 1,200.00"
Kit Chasis de Oruga Zumo + Placa de Acero + Shield Zumo para Arduino (Sin motores),$ 500.00
Practica Control de Distancia con Sensor Ultrasónico y LEDs de Aviso Compatible Arduino Uno R3,$ 494.50
Caja de Acrílico 8 cm X 6.5 cm X 1.8 cm Transparente para Arduino Uno DIP,$ 55.00
Caja de Acrílico 6 cm x 1.3 cm x 7. 5 cm Transparente para Arduino Uno SMD,$ 53.00
Joystick Shield Kit,$ 330.00
PWM Shield,$ 200.00
Motor Driver L293D Shield Genérica,$ 145.00
Módulo Sensor Láser,$ 30.00
"Manual para Raspberry Pi ""Getting Started with Raspberry Pi""",$ 150.00
Timbre Piezoeléctrico 3 cm Altavoz Aluminio,$ 15.00
Módulo Convertidor de USB a Serial TTL CP2102,$ 147.00
Sensor HMC5883Ls Magnetómetro Triple Eje Breakout,$ 225.00
Módulo GPRS/GSM Shield con Antena Integrada SIM900,$ 720.00
Módulo Serial I2C para Display LCD 16 x 2 PCF8574A,$ 52.00
Carro Robot 2WD,$ 250.00
Sensor de Golpe y Vibración Breakout,$ 29.00
Carro Robot 4WD,$ 340.00
Sensor KY-038 Detector de Sonido Breakout,$ 43.00
"Manual para Raspberry Pi ""Raspberry Pi Hacks""",$ 150.00
Módulo Sensor FZ0430 Medidor de Voltaje Breakout,$ 25.00
Sensor de Proximidad Inductivo NPN LJ12A3-4-Z/BX,$ 149.00
Sensor de Proximidad Inductivo PNP LJ12A3-4-Z/BY,$ 138.00
Sensor TEMT6000 Luz Breakout Board,$ 142.00
Módulo Interfaz RS485,$ 32.00
Teclado Matricial Touch Capacitivo 4 X 4,$ 120.00
XDRduino Starter Kit Genérico,"$ 1,200.00"
Módulo Reloj de Tiempo Real RTC DS1307,$ 39.00
